('黑龙江省恒瑞建筑工程有限公司', '002105291306898490')
('重庆华宗建设工程有限公司', '002110291911207692')
('上海好康建设工程有限公司', '002105291254742314')
('江苏创富建设有限公司', '002205102018315057')
('甘肃九桥建设工程有限公司', '002107201914149289')
('上海玲记基础工程有限公司', '002105291254727628')
('淮安市勤业建设劳务有限公司', '002105291239457715')
('陕西晨顾卢建设工程有限公司', '002212202026447374')
('赤峰市水利规划设计研究院', '002105291239456055')
('北京百兴恒泰科技有限公司', '002205252013323190')
('郑州安信建筑劳务有限公司', '002105291240466329')
('广东志汇谷科技有限公司', '002105291240542458')
('北京大成时代建筑劳务有限公司', '002105291322993302')
('江苏绿和环境科技有限公司', '002105291322981262')
('六安市协同建筑劳务有限公司', '002201141919259192')
('海南宏远建筑工程有限公司', '002105291240522839')
('贵州耀通建筑工程有限公司', '002105291322995358')
('广东浩渝建筑工程有限公司', '002106221904117750')
('安徽瑶海钢构建设有限公司', '002105291249712149')
('贵州智慧空间设计有限公司', '002112031913229947')
('四川宏晟建川建筑装饰工程有限公司', '002105291241589258')
('四川龙台建设有限公司', '002105291255771398')
('北京中诺智电科技有限公司', '002105291240546894')
('北京连清建筑工程有限公司', '002105291322989815')
('南通恒通混凝土有限公司', '002105291239458440')
('阳泉信达通矿山工程有限公司', '002105291241597696')
('中江龙建（北京）建设有限公司', '002105291306900046')
('江苏国瑞建设工程有限公司', '002105291259821883')
('福建省道建建筑科技有限公司', '002105291323019264')
('北京盈贝建设工程有限公司', '002111041910211004')
('重庆市纬图勘测设计院有限公司', '002105291306884595')
('北京中楚建工程有限公司', '002105291306902311')
('四川宁泰建筑有限公司', '002105291240502431')
('常州市索邦建设工程有限公司', '002105291239457287')
('中粤建筑科技（广东）股份有限公司', '002204092017299799')
('北京九合正中结构设计事务所（普通合伙）', '002105291254740731')
('河南炯泽建筑工程有限公司', '002208052013366001')
('北汽利戴工业技术服务（北京）有限公司', '002107291914157038')
('江苏楚浩建设工程有限公司', '002105291328057497')
('北京金诺筑工科技有限公司', '002105291305850239')
('云南港基装饰工程有限公司', '002105291248684404')
('上海盛亿市政园林工程有限公司', '002105291313925694')
('北京国网盛业电力工程有限公司', '002105291241576012')
('山西新万达电力建设工程有限公司', '002105291306880622')
('陕西宇鸿泽建筑工程有限公司', '002105291248672699')
('四川省品重钢构股份有限公司', '002105291305869891')
('四川东卓工程监理有限公司', '002105291248675647')
('湖南祥云克雷科技有限公司', '002105291254716834')
('四川中达昌盛建设工程有限公司', '002105291241569400')
('北京虹联建筑工程有限公司', '002211152021428351')
('上海昊臻建设发展有限公司', '002105291249705258')
('东方兴华（北京）建设有限公司', '002105291328041613')
('长春中祥建筑工程有限公司', '002105291240495251')
('广东六丰能源服务有限公司', '002105291254731822')
('江苏龙亚建设工程有限公司', '002105291248650786')
('贵州安捷万磊建筑工程有限公司', '002105291240510104')
('北京吉贝建设有限公司', '002207162014354086')
('广东重信建设有限公司', '002105291259834093')
('江西省光武基础工程有限公司', '002105291306881213')
('国筑中恒（北京）建设有限公司', '002207072046347537')
('江西永盛电力建设有限公司', '002105291322986656')
('广东惠盛建设有限公司', '002105291258806773')
('西安顺康建筑工程有限公司', '002105291328039324')
('广东中茂建设有限公司', '002105291259832437')
('广东潮汇建设工程有限公司', '002306032036537107')
('北京中创嘉和建设有限公司', '002112261919245018')
('江苏锦钦德建设工程有限公司', '002203182008287886')
('云南高通项目管理有限公司', '002105291248658041')
('江苏东电电力工程监理有限公司', '002105291241600366')
('湖南芙蓉信息技术有限公司', '002202082017270479')
('四川诚正劳务有限公司', '002105291322002325')
('吉林省天源水利水电工程有限公司', '002105291241608824')
('云南亿首发建筑工程有限公司', '002105291254735042')
('山西广晟建筑工程有限公司', '002105291255777876')
('北京英泰智科技股份有限公司', '002105291305877979')
('深圳市技兴机电工程有限公司', '002105291328048387')
('江苏蓝金建设工程有限公司', '002105291239457958')
('北京计鹏信息咨询有限公司', '002105291240549463')
('远大宏博（北京）建设工程有限公司', '002105291259839878')
('江西迅涛建设工程有限公司', '002112061917230403')
('中安兴泰（北京）建设有限公司', '002202151502273000')
('黑龙江省龙冉环保科技有限公司', '002105291248661314')
('江西宏青园林建筑工程有限公司', '002105291259828219')
('重庆九江建筑工程有限公司', '002105291258795513')
('洛阳正龙混凝土科技有限公司', '002105291240531937')
('湖南芙新环保工程有限公司', '002105291259811883')
('湖北庆宝建筑劳务工程有限公司', '002105291258789001')
('江西三森建设工程有限公司', '002105291248671827')
('云南江航建筑工程有限公司', '002105291313962933')
('山西展江建筑工程劳务有限公司', '002105291241619252')
('绵阳市高华建筑设备有限公司', '002105291240484787')
('九睿科技（北京）有限公司', '002105291258795763')
('吉林市路桥工程建设有限责任公司', '002105291259842320')
('安徽巨华建设工程科技有限公司', '002105291254761469')
('山东省瀚福工程有限公司', '002105291322994055')
('四川金瑭建筑科技有限责任公司', '002105291254758299')
('河北创联道桥工程技术有限公司', '002105291241596564')
('广西南宁今卓装饰工程有限公司', '002105291240497116')
('江西帝威建设工程有限公司', '002105291328055711')
('北京中顺明晶建筑工程有限公司', '002106181904114206')
('北京裕丰伟业建筑工程有限责任公司', '002207062013346659')
